"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.278";"50,937";"1.228";"48,944";"3";"0,120";"2.509";"12,230"
"ENSINO FUNDAMENTAL COMPLETO";"423";"48,123";"456";"51,877";"0";"0,000";"879";"4,285"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.559";"52,033";"2.358";"47,946";"1";"0,020";"4.918";"23,973"
"ENSINO MÉDIO COMPLETO";"2.218";"42,425";"3.010";"57,575";"0";"0,000";"5.228";"25,484"
"ENSINO MÉDIO INCOMPLETO";"995";"44,800";"1.226";"55,200";"0";"0,000";"2.221";"10,826"
"LÊ E ESCREVE";"1.677";"53,871";"1.435";"46,097";"1";"0,032";"3.113";"15,174"
"NÃO INFORMADO";"1";"25,000";"3";"75,000";"0";"0,000";"4";"0,019"
"SUPERIOR COMPLETO";"302";"27,860";"782";"72,140";"0";"0,000";"1.084";"5,284"
"SUPERIOR INCOMPLETO";"239";"42,755";"320";"57,245";"0";"0,000";"559";"2,725"
"TOTAL(TT)";"9.692";"47,243";"10.818";"52,732";"5";"0,024";"20.515";"99,999"
