"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.682";"53,516";"1.459";"46,421";"2";"0,064";"3.143";"14,155"
"ENSINO FUNDAMENTAL COMPLETO";"390";"45,561";"466";"54,439";"0";"0,000";"856";"3,855"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.251";"53,594";"2.814";"46,390";"1";"0,016";"6.066";"27,319"
"ENSINO MÉDIO COMPLETO";"719";"33,256";"1.442";"66,698";"1";"0,046";"2.162";"9,737"
"ENSINO MÉDIO INCOMPLETO";"1.862";"42,280";"2.541";"57,698";"1";"0,023";"4.404";"19,834"
"LÊ E ESCREVE";"2.459";"52,353";"2.234";"47,562";"4";"0,085";"4.697";"21,154"
"NÃO INFORMADO";"3";"60,000";"2";"40,000";"0";"0,000";"5";"0,023"
"SUPERIOR COMPLETO";"114";"19,965";"457";"80,035";"0";"0,000";"571";"2,572"
"SUPERIOR INCOMPLETO";"108";"36,000";"192";"64,000";"0";"0,000";"300";"1,351"
"TOTAL(TT)";"10.588";"47,685";"11.607";"52,274";"9";"0,041";"22.204";"100,000"
