Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
260005 Abreu e Lima;13;14;0;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;35
260010 Afogados da Ingazeira;0;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
260020 Afrânio;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
260030 Agrestina;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
260040 Água Preta;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260050 Águas Belas;8;5;0;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;19
260060 Alagoinha;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260070 Aliança;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260080 Altinho;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260090 Amaraji;2;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260100 Angelim;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260105 Araçoiaba;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260110 Araripina;0;11;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
260120 Arcoverde;0;24;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29
260130 Barra de Guabiraba;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260140 Barreiros;2;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260150 Belém de Maria;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260160 Belém do São Francisco;5;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260170 Belo Jardim;6;10;0;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;22
260180 Betânia;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260190 Bezerros;5;14;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
260200 Bodocó;4;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260210 Bom Conselho;8;7;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;20
260220 Bom Jardim;3;8;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260230 Bonito;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260240 Brejão;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260250 Brejinho;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260260 Brejo da Madre de Deus;0;10;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14
260270 Buenos Aires;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260280 Buíque;4;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13
260290 Cabo de Santo Agostinho;29;13;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;48
260300 Cabrobó;0;8;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;13
260310 Cachoeirinha;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260320 Caetés;0;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
260330 Calçado;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260340 Calumbi;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
260345 Camaragibe;28;15;3;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;52
260350 Camocim de São Félix;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260360 Camutanga;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
260370 Canhotinho;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
260380 Capoeiras;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9
260390 Carnaíba;3;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260392 Carnaubeira da Penha;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260400 Carpina;8;11;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
260410 Caruaru;14;59;0;11;10;0;0;0;0;3;1;0;0;2;0;0;0;0;0;0;100
260415 Casinhas;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260420 Catende;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260430 Cedro;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260440 Chã de Alegria;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260450 Chã Grande;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260460 Condado;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260470 Correntes;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260480 Cortês;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260490 Cumaru;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260500 Cupira;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260510 Custódia;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260515 Dormentes;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260520 Escada;0;16;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
260530 Exu;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260540 Feira Nova;3;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260545 Fernando de Noronha;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
260550 Ferreiros;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260560 Flores;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260570 Floresta;0;8;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260580 Frei Miguelinho;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260590 Gameleira;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260600 Garanhuns;9;28;0;2;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;45
260610 Glória do Goitá;1;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260620 Goiana;0;23;0;2;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;32
260630 Granito;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
260640 Gravatá;3;14;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
260650 Iati;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260660 Ibimirim;0;12;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260670 Ibirajuba;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260680 Igarassu;5;23;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;33
260690 Iguaracy;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260760 Ilha de Itamaracá;3;6;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;16
260700 Inajá;2;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260710 Ingazeira;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
260720 Ipojuca;0;20;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
260730 Ipubi;2;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260740 Itacuruba;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
260750 Itaíba;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260765 Itambé;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260770 Itapetim;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260775 Itapissuma;0;9;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;12
260780 Itaquitinga;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260790 Jaboatão dos Guararapes;23;81;0;18;8;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;140
260795 Jaqueira;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260800 Jataúba;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260805 Jatobá;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260810 João Alfredo;2;7;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13
260820 Joaquim Nabuco;0;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260825 Jucati;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260830 Jupi;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260840 Jurema;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260850 Lagoa de Itaenga;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260845 Lagoa do Carro;1;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260860 Lagoa do Ouro;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260870 Lagoa dos Gatos;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260875 Lagoa Grande;3;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260880 Lajedo;4;7;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14
260890 Limoeiro;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
260900 Macaparana;2;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
260910 Machados;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260915 Manari;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260920 Maraial;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
260930 Mirandiba;0;1;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7
261430 Moreilândia;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260940 Moreno;9;4;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;17
260950 Nazaré da Mata;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
260960 Olinda;31;20;0;5;5;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;65
260970 Orobó;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
260980 Orocó;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260990 Ouricuri;9;11;0;5;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30
261000 Palmares;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21
261010 Palmeirina;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
261020 Panelas;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261030 Paranatama;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261040 Parnamirim;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261050 Passira;4;7;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
261060 Paudalho;0;21;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
261070 Paulista;22;22;0;8;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;56
261080 Pedra;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
261090 Pesqueira;0;16;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;25
261100 Petrolândia;0;9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
261110 Petrolina;43;47;0;0;9;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1;105
261120 Poção;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261130 Pombos;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
