Município;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;70 ESF - EQUIPE DE SAUDE DA FAMILIA;71 ESB - EQUIPE DE SAUDE BUCAL;72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA;73 ECR - EQUIPE DOS CONSULTORIOS NA RUA;74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL;76 EAP - EQUIPE DE ATENCAO PRIMARIA;Total
260005 Abreu e Lima;0;0;0;0;1;1;0;0;28;16;0;1;3;0;1;51
260010 Afogados da Ingazeira;0;0;0;0;0;0;0;0;14;14;1;0;0;0;0;29
260020 Afrânio;0;0;0;0;0;0;0;0;10;9;1;0;1;0;0;21
260030 Agrestina;0;0;0;0;0;0;0;0;12;11;2;0;0;0;0;25
260040 Água Preta;0;0;0;0;0;0;0;0;12;12;2;0;0;0;0;26
260050 Águas Belas;0;0;2;0;1;1;0;0;13;5;2;0;0;0;0;24
260060 Alagoinha;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260070 Aliança;0;0;0;0;0;0;0;0;12;12;2;0;0;0;0;26
260080 Altinho;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;17
260090 Amaraji;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;15
260100 Angelim;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260105 Araçoiaba;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;11
260110 Araripina;0;0;0;0;0;0;0;0;25;13;0;0;0;0;0;38
260120 Arcoverde;0;0;0;0;0;0;0;0;25;25;4;0;1;0;0;55
260130 Barra de Guabiraba;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260140 Barreiros;0;0;0;0;0;0;0;0;12;9;1;0;0;0;0;22
260150 Belém de Maria;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;8
260160 Belém do São Francisco;0;0;1;0;0;0;0;0;9;3;0;0;0;0;0;13
260170 Belo Jardim;0;0;0;0;1;1;0;0;19;11;1;0;0;0;0;33
260180 Betânia;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
260190 Bezerros;0;0;0;0;0;0;0;0;20;14;2;0;0;0;0;36
260200 Bodocó;0;0;0;0;0;0;0;0;11;7;2;0;0;0;0;20
260210 Bom Conselho;0;0;0;0;0;0;0;0;16;10;1;0;0;0;0;27
260220 Bom Jardim;0;0;0;0;0;0;0;0;12;8;2;0;0;0;0;22
260230 Bonito;0;0;0;0;0;0;0;0;11;10;1;0;0;0;0;22
260240 Brejão;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
260250 Brejinho;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
260260 Brejo da Madre de Deus;0;0;0;0;0;0;0;0;13;11;1;0;0;0;0;25
260270 Buenos Aires;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
260280 Buíque;0;0;0;0;0;0;0;0;13;9;1;0;1;0;0;24
260290 Cabo de Santo Agostinho;2;0;0;0;1;1;0;0;42;26;2;0;0;0;0;74
260300 Cabrobó;0;0;2;0;0;0;0;0;11;11;2;0;0;0;0;26
260310 Cachoeirinha;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260320 Caetés;0;0;0;0;0;0;0;0;11;11;1;0;0;0;0;23
260330 Calçado;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260340 Calumbi;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;5
260345 Camaragibe;0;0;0;0;0;0;0;0;45;19;5;1;0;1;0;71
260350 Camocim de São Félix;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260360 Camutanga;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
260370 Canhotinho;0;0;0;0;0;0;0;0;10;10;1;0;1;0;0;22
260380 Capoeiras;0;0;0;0;0;0;0;0;7;7;1;0;1;0;0;16
260390 Carnaíba;0;0;0;0;0;0;0;0;9;6;1;0;0;0;0;16
260392 Carnaubeira da Penha;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;8
260400 Carpina;0;0;0;0;0;0;0;0;21;13;3;0;0;0;0;37
260410 Caruaru;6;0;0;0;3;1;0;0;81;68;12;0;1;0;0;172
260415 Casinhas;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260420 Catende;0;0;0;0;0;0;0;0;10;10;1;0;0;0;0;21
260430 Cedro;0;0;0;0;0;0;0;0;5;4;1;0;0;0;0;10
260440 Chã de Alegria;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260450 Chã Grande;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;17
260460 Condado;0;0;0;0;0;0;0;0;8;8;1;0;0;0;2;19
260470 Correntes;0;0;0;0;0;0;0;0;7;6;1;0;0;0;0;14
260480 Cortês;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260490 Cumaru;0;0;0;0;0;0;0;0;11;5;1;0;0;0;0;17
260500 Cupira;0;0;0;0;0;0;0;0;9;9;1;0;0;0;0;19
260510 Custódia;0;0;0;0;0;0;0;0;15;15;1;0;0;0;0;31
260515 Dormentes;0;0;0;0;0;0;0;0;8;8;1;0;0;1;0;18
260520 Escada;0;0;0;0;0;0;0;0;17;16;2;0;0;0;0;35
260530 Exu;0;0;0;0;0;0;0;0;11;11;2;0;0;0;0;24
260540 Feira Nova;0;0;0;0;0;0;0;0;9;8;0;0;0;0;0;17
260545 Fernando de Noronha;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;4
260550 Ferreiros;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260560 Flores;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260570 Floresta;0;0;1;0;0;0;0;0;9;8;1;0;0;0;0;19
260580 Frei Miguelinho;0;0;0;0;0;0;0;0;5;3;1;0;0;0;0;9
260590 Gameleira;0;0;0;0;0;0;0;0;8;7;1;0;0;0;0;16
260600 Garanhuns;0;0;0;0;0;0;0;0;38;29;4;0;0;0;0;71
260610 Glória do Goitá;0;0;0;0;0;0;0;0;9;9;1;0;0;0;0;19
260620 Goiana;0;1;0;0;1;1;0;0;26;24;4;0;0;0;0;57
260630 Granito;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
260640 Gravatá;0;0;0;0;0;0;0;0;23;17;4;0;0;0;0;44
260650 Iati;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;17
260660 Ibimirim;0;0;1;0;0;0;0;0;12;12;1;0;0;0;0;26
260670 Ibirajuba;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
260680 Igarassu;0;0;0;0;0;0;0;0;29;27;2;0;2;0;2;62
260690 Iguaracy;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260760 Ilha de Itamaracá;0;0;0;0;0;1;0;1;9;6;0;0;4;0;0;21
260700 Inajá;0;0;1;0;0;0;0;0;7;5;1;0;0;0;0;14
260710 Ingazeira;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;5
260720 Ipojuca;0;0;0;0;0;0;0;0;22;20;2;0;0;0;0;44
260730 Ipubi;0;0;0;0;0;0;0;0;11;10;2;0;0;0;0;23
260740 Itacuruba;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4
260750 Itaíba;0;0;0;0;0;0;0;0;10;10;1;0;0;0;0;21
260765 Itambé;0;0;0;0;0;1;0;1;12;12;2;0;0;0;0;28
260770 Itapetim;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260775 Itapissuma;0;0;0;0;0;1;0;1;10;10;1;0;0;0;0;23
260780 Itaquitinga;0;0;0;0;0;0;0;0;6;4;1;0;1;0;0;12
260790 Jaboatão dos Guararapes;15;0;0;0;7;2;0;0;112;87;8;0;0;0;0;231
260795 Jaqueira;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;10
260800 Jataúba;0;0;0;0;0;0;0;0;7;6;1;0;1;0;0;15
260805 Jatobá;1;0;0;0;0;0;0;0;5;5;0;0;0;0;0;11
260810 João Alfredo;0;0;0;0;0;0;0;0;11;9;0;0;0;0;0;20
260820 Joaquim Nabuco;0;0;0;0;0;0;0;0;7;6;1;0;0;0;0;14
260825 Jucati;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
260830 Jupi;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
260840 Jurema;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;11
260850 Lagoa de Itaenga;0;0;0;0;0;0;0;0;9;9;1;0;0;0;0;19
260845 Lagoa do Carro;0;0;0;0;0;0;0;0;11;9;0;0;0;0;0;20
260860 Lagoa do Ouro;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
260870 Lagoa dos Gatos;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;11
