"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"260005 Abreu e Lima";2;1;0;5;0;3;30;0;14;16;0;1;0;2;0;0;0;0;6;0;0;0;1;0;0;4;0;0;2;1;0;0;88
"260010 Afogados da Ingazeira";1;1;0;1;0;2;17;0;15;10;0;1;0;3;0;0;1;0;3;0;0;0;2;0;0;3;0;0;0;0;0;0;60
"260020 Afrânio";2;0;0;0;0;1;8;0;4;0;0;1;0;1;0;0;0;0;3;0;0;0;1;0;0;0;1;1;0;1;0;0;24
"260030 Agrestina";1;0;0;2;0;1;2;0;4;3;0;0;1;1;0;0;0;0;15;1;0;0;1;0;0;1;1;0;1;0;0;0;35
"260040 Água Preta";0;0;0;2;0;1;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;23
"260050 Águas Belas";1;0;0;2;0;1;13;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3;1;0;0;1;2;0;0;30
"260060 Alagoinha";1;1;0;1;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;14
"260070 Aliança";1;0;0;2;0;1;14;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;25
"260080 Altinho";0;0;0;1;0;1;8;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;18
"260090 Amaraji";0;0;0;1;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;16
"260100 Angelim";3;0;0;1;0;2;6;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;19
"260105 Araçoiaba";0;0;0;1;0;1;8;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;17
"260110 Araripina";0;1;0;1;0;1;20;0;18;4;0;0;0;2;0;0;0;2;2;0;0;0;1;0;0;9;1;0;0;0;0;0;62
"260120 Arcoverde";0;1;0;0;1;2;26;0;31;23;0;0;0;2;0;0;1;1;5;2;0;0;2;0;0;16;0;0;0;1;0;0;114
"260130 Barra de Guabiraba";1;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;13
"260140 Barreiros";0;0;0;1;0;1;12;1;5;0;0;0;1;2;0;0;0;2;0;0;0;0;1;0;0;4;0;0;1;0;0;0;31
"260150 Belém de Maria";0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;12
"260160 Belém do São Francisco";2;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;15
"260170 Belo Jardim";2;0;0;1;0;1;15;0;12;14;0;1;0;2;0;0;1;2;8;1;0;0;1;0;0;4;0;0;1;0;0;0;66
"260180 Betânia";1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;16
"260190 Bezerros";1;0;0;1;0;1;19;0;9;16;0;2;0;2;0;0;0;1;3;0;0;0;1;0;0;8;0;0;2;0;0;0;66
"260200 Bodocó";0;0;0;0;0;1;11;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;6;0;0;0;0;0;0;22
"260210 Bom Conselho";4;0;0;1;0;1;14;0;3;15;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;4;0;0;1;0;0;0;49
"260220 Bom Jardim";1;0;0;2;0;0;13;0;1;0;0;2;0;1;0;0;0;0;7;0;0;0;1;0;0;0;0;0;1;0;0;0;29
"260230 Bonito";1;0;0;1;0;0;12;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;22
"260240 Brejão";1;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;1;0;0;14
"260250 Brejinho";1;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;9
"260260 Brejo da Madre de Deus";2;1;0;1;0;0;13;0;5;0;0;1;0;1;0;0;0;2;0;1;0;0;1;0;0;1;0;0;2;0;0;1;32
"260270 Buenos Aires";1;0;0;1;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260280 Buíque";0;0;0;0;0;1;11;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;3;2;0;1;0;1;0;0;25
"260290 Cabo de Santo Agostinho";3;1;0;0;0;3;44;0;53;39;0;0;2;6;0;0;0;3;2;3;0;0;1;0;0;13;1;0;6;0;0;0;180
"260300 Cabrobó";3;0;0;2;0;1;10;0;2;5;0;0;0;1;0;0;0;1;1;1;0;0;1;0;8;1;0;0;0;0;0;0;37
"260310 Cachoeirinha";1;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;1;7;0;0;0;1;0;0;0;0;1;0;0;0;0;17
"260320 Caetés";1;0;0;1;0;1;9;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;18
"260330 Calçado";1;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;11
"260340 Calumbi";1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;8
"260345 Camaragibe";1;0;0;0;0;3;45;0;16;11;0;1;3;0;0;0;0;4;0;0;0;0;1;0;1;4;0;0;2;1;0;0;93
"260350 Camocim de São Félix";1;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;1;1;1;0;0;0;17
"260360 Camutanga";1;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;12
"260370 Canhotinho";1;0;0;1;0;1;11;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;22
"260380 Capoeiras";0;1;0;1;0;1;9;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16
"260390 Carnaíba";2;1;0;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;19
"260392 Carnaubeira da Penha";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;1;1;0;1;0;0;12
"260400 Carpina";1;1;0;3;0;1;18;0;22;19;0;1;0;1;0;1;0;1;2;0;0;0;1;0;0;11;0;1;2;0;0;0;86
"260410 Caruaru";3;1;1;0;1;2;65;1;123;239;4;3;1;8;2;0;1;2;1;5;1;1;2;2;0;39;2;0;7;0;0;0;517
"260415 Casinhas";1;0;0;1;0;0;6;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260420 Catende";0;0;0;1;0;1;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;17
"260430 Cedro";1;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"260440 Chã de Alegria";0;0;0;1;0;0;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;13
"260450 Chã Grande";1;0;0;1;0;1;8;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;16
"260460 Condado";0;0;0;1;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;15
"260470 Correntes";1;0;0;1;0;1;7;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;15
"260480 Cortês";1;0;0;1;0;0;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13
"260490 Cumaru";1;0;0;1;0;0;7;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;0;1;1;0;0;0;20
"260500 Cupira";1;0;0;1;0;1;10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;21
"260510 Custódia";1;0;0;1;0;1;11;0;3;2;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;5;0;1;0;0;0;0;30
"260515 Dormentes";2;0;0;0;0;1;7;0;4;3;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;20
"260520 Escada";0;0;0;2;0;0;6;0;2;0;0;0;0;2;0;0;0;0;17;0;0;0;1;0;0;2;0;0;1;0;0;0;33
"260530 Exu";2;0;0;1;0;1;13;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;23
"260540 Feira Nova";1;1;0;1;0;1;8;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19
"260545 Fernando de Noronha";0;0;0;1;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;8
"260550 Ferreiros";1;0;0;1;0;1;6;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;14
"260560 Flores";1;0;0;1;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;14
"260570 Floresta";1;0;0;0;0;1;7;0;0;3;0;0;0;2;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;21
"260580 Frei Miguelinho";0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260590 Gameleira";0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;8;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260600 Garanhuns";2;1;0;2;1;4;40;1;29;185;1;1;2;4;1;0;1;1;3;0;0;0;2;1;0;25;1;0;2;0;0;2;312
"260610 Glória do Goitá";1;0;0;1;0;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;17
"260620 Goiana";12;1;0;4;0;1;26;0;13;11;0;1;0;3;0;0;0;2;3;0;0;0;4;0;0;9;0;2;5;0;0;0;97
"260630 Granito";2;0;0;1;0;0;3;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;12
"260640 Gravatá";0;1;0;0;0;2;20;0;9;27;0;2;0;1;0;0;0;1;0;0;0;0;2;0;0;8;0;0;4;0;0;0;77
"260650 Iati";0;0;0;0;0;0;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12
"260660 Ibimirim";2;0;0;1;0;1;13;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;25
"260670 Ibirajuba";2;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;11
"260680 Igarassu";0;0;0;2;0;1;1;0;12;5;0;0;2;1;0;0;0;4;35;1;0;0;1;0;0;7;0;0;4;0;1;0;77
"260690 Iguaracy";1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260760 Ilha de Itamaracá";0;0;0;1;0;1;12;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;23
"260700 Inajá";1;0;0;0;0;1;6;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;3;0;0;0;0;0;0;0;17
"260710 Ingazeira";2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7
"260720 Ipojuca";1;1;0;1;0;2;18;0;10;26;0;1;0;1;0;0;0;4;2;6;0;0;1;0;0;8;5;1;4;2;0;0;94
"260730 Ipubi";1;0;0;2;0;1;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;21
"260740 Itacuruba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;3
"260750 Itaíba";1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260765 Itambé";0;1;0;2;0;1;14;0;3;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;26
"260770 Itapetim";3;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;16
"260775 Itapissuma";2;0;0;1;0;1;9;0;5;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;25
"260780 Itaquitinga";1;0;0;1;0;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;13
"260790 Jaboatão dos Guararapes";4;1;0;0;0;3;118;0;48;153;0;2;0;7;0;0;1;13;0;5;0;0;8;1;0;24;0;0;11;2;1;0;402
"260795 Jaqueira";0;0;0;1;0;0;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;10
"260800 Jataúba";0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260805 Jatobá";1;0;0;0;0;0;4;0;2;3;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;15
"260810 João Alfredo";1;0;0;2;0;1;11;0;1;0;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0;1;1;0;1;0;0;0;25
