"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"260005 Abreu e Lima";1;1;0;3;0;3;0;26;0;0;21;24;0;2;0;2;2;0;0;0;0;6;0;0;0;1;0;0;5;0;0;2;1;0;0;100
"260010 Afogados da Ingazeira";6;1;0;2;0;2;0;17;0;0;12;10;0;1;0;3;0;0;1;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;63
"260020 Afrânio";3;0;0;0;0;1;1;9;0;0;4;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;1;0;0;26
"260030 Agrestina";1;0;0;2;0;1;0;2;0;0;7;3;0;0;0;1;0;0;1;0;0;16;0;0;0;1;0;0;0;1;0;1;0;0;0;37
"260040 Água Preta";0;0;0;2;0;1;0;14;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;24
"260050 Águas Belas";1;0;0;2;0;1;0;13;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;3;1;0;0;1;2;0;0;29
"260060 Alagoinha";1;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260070 Aliança";1;0;0;2;0;1;0;14;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;25
"260080 Altinho";0;0;0;1;0;1;0;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;16
"260090 Amaraji";0;0;0;1;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;16
"260100 Angelim";3;0;0;1;0;2;0;6;0;0;3;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;20
