Município;Óbitos_p/Residênc
260005 Abreu e Lima;17
260010 Afogados da Ingazeira;6
260020 Afrânio;7
260030 Agrestina;6
260040 Água Preta;5
260050 Águas Belas;11
260060 Alagoinha;0
260070 Aliança;6
260080 Altinho;2
260090 Amaraji;0
260100 Angelim;3
260105 Araçoiaba;2
260110 Araripina;33
260120 Arcoverde;16
260130 Barra de Guabiraba;1
260140 Barreiros;12
260150 Belém de Maria;3
260160 Belém do São Francisco;5
260170 Belo Jardim;19
260180 Betânia;3
260190 Bezerros;9
260200 Bodocó;12
260210 Bom Conselho;11
260220 Bom Jardim;8
260230 Bonito;6
260240 Brejão;2
260250 Brejinho;0
260260 Brejo da Madre de Deus;8
260270 Buenos Aires;0
260280 Buíque;18
260290 Cabo de Santo Agostinho;33
260300 Cabrobó;7
260310 Cachoeirinha;3
260320 Caetés;5
260330 Calçado;0
260340 Calumbi;0
260345 Camaragibe;23
260350 Camocim de São Félix;2
260360 Camutanga;0
260370 Canhotinho;3
260380 Capoeiras;2
260390 Carnaíba;3
260392 Carnaubeira da Penha;5
260400 Carpina;15
260410 Caruaru;64
260415 Casinhas;1
260420 Catende;9
260430 Cedro;3
260440 Chã de Alegria;3
260450 Chã Grande;3
260460 Condado;2
260470 Correntes;4
260480 Cortês;2
260490 Cumaru;2
260500 Cupira;3
260510 Custódia;7
260515 Dormentes;5
260520 Escada;13
260530 Exu;5
260540 Feira Nova;4
260545 Fernando de Noronha;0
260550 Ferreiros;0
260560 Flores;3
260570 Floresta;10
260580 Frei Miguelinho;4
260590 Gameleira;4
260600 Garanhuns;32
260610 Glória do Goitá;4
260620 Goiana;14
260630 Granito;1
260640 Gravatá;11
260650 Iati;5
260660 Ibimirim;3
260670 Ibirajuba;1
260680 Igarassu;21
260690 Iguaracy;1
260760 Ilha de Itamaracá;5
260700 Inajá;6
260710 Ingazeira;1
260720 Ipojuca;21
260730 Ipubi;11
260740 Itacuruba;0
260750 Itaíba;5
260765 Itambé;4
260770 Itapetim;1
260775 Itapissuma;3
260780 Itaquitinga;2
260790 Jaboatão dos Guararapes;117
260795 Jaqueira;2
260800 Jataúba;3
260805 Jatobá;6
260810 João Alfredo;5
260820 Joaquim Nabuco;3
260825 Jucati;3
260830 Jupi;7
260840 Jurema;2
260850 Lagoa de Itaenga;4
260845 Lagoa do Carro;3
260860 Lagoa do Ouro;3
260870 Lagoa dos Gatos;1
260875 Lagoa Grande;3
260880 Lajedo;9
260890 Limoeiro;11
260900 Macaparana;2
260910 Machados;3
260915 Manari;7
260920 Maraial;1
260930 Mirandiba;2
261430 Moreilândia;2
260940 Moreno;9
260950 Nazaré da Mata;4
260960 Olinda;59
260970 Orobó;5
260980 Orocó;2
260990 Ouricuri;13
261000 Palmares;9
261010 Palmeirina;2
261020 Panelas;3
261030 Paranatama;2
261040 Parnamirim;3
261050 Passira;4
261060 Paudalho;9
261070 Paulista;61
261080 Pedra;2
261090 Pesqueira;16
261100 Petrolândia;8
261110 Petrolina;100
261120 Poção;2
261130 Pombos;5
261140 Primavera;2
261150 Quipapá;3
261153 Quixaba;0
261160 Recife;234
261170 Riacho das Almas;4
261180 Ribeirão;4
261190 Rio Formoso;5
261200 Sairé;5
261210 Salgadinho;2
261220 Salgueiro;19
261230 Saloá;6
261240 Sanharó;9
261245 Santa Cruz;2
261247 Santa Cruz da Baixa Verde;2
261250 Santa Cruz do Capibaribe;19
261255 Santa Filomena;2
261260 Santa Maria da Boa Vista;11
261270 Santa Maria do Cambucá;5
261280 Santa Terezinha;2
261290 São Benedito do Sul;1
261300 São Bento do Una;10
261310 São Caitano;9
261320 São João;3
261330 São Joaquim do Monte;3
261340 São José da Coroa Grande;6
261350 São José do Belmonte;7
261360 São José do Egito;8
261370 São Lourenço da Mata;14
261380 São Vicente Ferrer;2
261390 Serra Talhada;18
261400 Serrita;3
261410 Sertânia;4
261420 Sirinhaém;6
261440 Solidão;0
261450 Surubim;11
261460 Tabira;3
261470 Tacaimbó;5
261480 Tacaratu;4
261485 Tamandaré;9
261500 Taquaritinga do Norte;9
261510 Terezinha;2
261520 Terra Nova;0
261530 Timbaúba;4
261540 Toritama;15
261550 Tracunhaém;2
261560 Trindade;13
261570 Triunfo;4
261580 Tupanatinga;8
261590 Tuparetama;2
261600 Venturosa;5
261610 Verdejante;1
261618 Vertente do Lério;2
261620 Vertentes;2
261630 Vicência;5
261640 Vitória de Santo Antão;22
261650 Xexéu;2
