"Município";"Óbitos_p/Residênc"
"260005 Abreu e Lima";9
"260010 Afogados da Ingazeira";5
"260020 Afrânio";9
"260030 Agrestina";6
"260040 Água Preta";4
"260050 Águas Belas";12
"260060 Alagoinha";5
"260070 Aliança";7
"260080 Altinho";2
"260090 Amaraji";2
"260100 Angelim";2
"260105 Araçoiaba";7
"260110 Araripina";25
"260120 Arcoverde";12
"260130 Barra de Guabiraba";4
"260140 Barreiros";10
"260150 Belém de Maria";1
"260160 Belém do São Francisco";3
"260170 Belo Jardim";12
"260180 Betânia";3
"260190 Bezerros";6
"260200 Bodocó";10
"260210 Bom Conselho";6
"260220 Bom Jardim";6
"260230 Bonito";4
"260240 Brejão";2
"260250 Brejinho";1
"260260 Brejo da Madre de Deus";11
"260270 Buenos Aires";1
"260280 Buíque";11
"260290 Cabo de Santo Agostinho";21
"260300 Cabrobó";2
"260310 Cachoeirinha";3
"260320 Caetés";3
"260330 Calçado";0
"260340 Calumbi";0
"260345 Camaragibe";32
"260350 Camocim de São Félix";1
"260360 Camutanga";2
"260370 Canhotinho";5
"260380 Capoeiras";4
"260390 Carnaíba";1
"260392 Carnaubeira da Penha";5
"260400 Carpina";11
"260410 Caruaru";58
"260415 Casinhas";2
"260420 Catende";5
"260430 Cedro";5
"260440 Chã de Alegria";1
"260450 Chã Grande";6
"260460 Condado";4
"260470 Correntes";7
"260480 Cortês";2
"260490 Cumaru";3
"260500 Cupira";8
"260510 Custódia";5
"260515 Dormentes";3
"260520 Escada";10
"260530 Exu";9
"260540 Feira Nova";7
"260545 Fernando de Noronha";1
"260550 Ferreiros";3
"260560 Flores";3
"260570 Floresta";4
"260580 Frei Miguelinho";2
"260590 Gameleira";5
"260600 Garanhuns";38
"260610 Glória do Goitá";7
"260620 Goiana";13
"260630 Granito";0
"260640 Gravatá";12
"260650 Iati";4
"260660 Ibimirim";8
"260670 Ibirajuba";0
"260680 Igarassu";9
"260690 Iguaracy";2
"260760 Ilha de Itamaracá";1
"260700 Inajá";10
"260710 Ingazeira";0
"260720 Ipojuca";12
"260730 Ipubi";11
"260740 Itacuruba";0
"260750 Itaíba";5
"260765 Itambé";5
"260770 Itapetim";5
"260775 Itapissuma";0
"260780 Itaquitinga";5
"260790 Jaboatão dos Guararapes";107
"260795 Jaqueira";3
"260800 Jataúba";3
"260805 Jatobá";1
"260810 João Alfredo";5
"260820 Joaquim Nabuco";1
"260825 Jucati";2
"260830 Jupi";6
"260840 Jurema";3
"260850 Lagoa de Itaenga";5
"260845 Lagoa do Carro";3
"260860 Lagoa do Ouro";2
"260870 Lagoa dos Gatos";4
"260875 Lagoa Grande";3
"260880 Lajedo";9
"260890 Limoeiro";8
"260900 Macaparana";6
"260910 Machados";2
"260915 Manari";4
"260920 Maraial";2
"260930 Mirandiba";2
"261430 Moreilândia";5
"260940 Moreno";12
"260950 Nazaré da Mata";3
"260960 Olinda";55
"260970 Orobó";4
"260980 Orocó";5
"260990 Ouricuri";24
"261000 Palmares";9
"261010 Palmeirina";0
"261020 Panelas";6
"261030 Paranatama";2
"261040 Parnamirim";2
"261050 Passira";4
"261060 Paudalho";7
"261070 Paulista";41
"261080 Pedra";3
"261090 Pesqueira";13
"261100 Petrolândia";5
"261110 Petrolina";116
"261120 Poção";6
"261130 Pombos";2
"261140 Primavera";0
"261150 Quipapá";5
"261153 Quixaba";2
"261160 Recife";243
"261170 Riacho das Almas";1
"261180 Ribeirão";8
"261190 Rio Formoso";4
"261200 Sairé";0
"261210 Salgadinho";1
"261220 Salgueiro";12
"261230 Saloá";2
"261240 Sanharó";8
"261245 Santa Cruz";5
"261247 Santa Cruz da Baixa Verde";3
"261250 Santa Cruz do Capibaribe";9
"261255 Santa Filomena";3
"261260 Santa Maria da Boa Vista";11
"261270 Santa Maria do Cambucá";3
"261280 Santa Terezinha";2
"261290 São Benedito do Sul";1
"261300 São Bento do Una";17
"261310 São Caitano";11
"261320 São João";3
"261330 São Joaquim do Monte";0
"261340 São José da Coroa Grande";1
"261350 São José do Belmonte";13
"261360 São José do Egito";2
"261370 São Lourenço da Mata";15
"261380 São Vicente Ferrer";4
"261390 Serra Talhada";20
"261400 Serrita";0
"261410 Sertânia";8
"261420 Sirinhaém";8
"261440 Solidão";2
"261450 Surubim";11
"261460 Tabira";5
"261470 Tacaimbó";3
"261480 Tacaratu";6
"261485 Tamandaré";5
"261500 Taquaritinga do Norte";5
"261510 Terezinha";5
"261520 Terra Nova";0
"261530 Timbaúba";5
"261540 Toritama";5
"261550 Tracunhaém";2
"261560 Trindade";12
"261570 Triunfo";1
"261580 Tupanatinga";9
"261590 Tuparetama";4
"261600 Venturosa";1
"261610 Verdejante";2
"261618 Vertente do Lério";0
"261620 Vertentes";4
"261630 Vicência";5
"261640 Vitória de Santo Antão";23
"261650 Xexéu";0
