"Município";"Nascim_p/resid.mãe"
"260005 Abreu e Lima";1352
"260010 Afogados da Ingazeira";586
"260020 Afrânio";254
"260030 Agrestina";325
"260040 Água Preta";425
"260050 Águas Belas";768
"260060 Alagoinha";190
"260070 Aliança";520
"260080 Altinho";247
"260090 Amaraji";261
"260100 Angelim";143
"260105 Araçoiaba";318
"260110 Araripina";1632
"260120 Arcoverde";1177
"260130 Barra de Guabiraba";198
"260140 Barreiros";661
"260150 Belém de Maria";151
"260160 Belém do São Francisco";304
"260170 Belo Jardim";1229
"260180 Betânia";152
"260190 Bezerros";771
"260200 Bodocó";520
"260210 Bom Conselho";412
"260220 Bom Jardim";455
"260230 Bonito";595
"260240 Brejão";171
"260250 Brejinho";112
"260260 Brejo da Madre de Deus";755
"260270 Buenos Aires";187
"260280 Buíque";850
"260290 Cabo de Santo Agostinho";2952
"260300 Cabrobó";509
"260310 Cachoeirinha";312
"260320 Caetés";437
"260330 Calçado";129
"260340 Calumbi";77
"260345 Camaragibe";2146
"260350 Camocim de São Félix";248
"260360 Camutanga";121
"260370 Canhotinho";331
"260380 Capoeiras";275
"260390 Carnaíba";286
"260392 Carnaubeira da Penha";249
"260400 Carpina";1018
"260410 Caruaru";6031
"260415 Casinhas";177
"260420 Catende";462
"260430 Cedro";165
"260440 Chã de Alegria";243
"260450 Chã Grande";307
"260460 Condado";370
"260470 Correntes";221
"260480 Cortês";160
"260490 Cumaru";183
"260500 Cupira";320
"260510 Custódia";461
"260515 Dormentes";250
"260520 Escada";870
"260530 Exu";511
"260540 Feira Nova";316
"260545 Fernando de Noronha";32
"260550 Ferreiros";149
"260560 Flores";269
"260570 Floresta";485
"260580 Frei Miguelinho";157
"260590 Gameleira";267
"260600 Garanhuns";2268
"260610 Glória do Goitá";364
"260620 Goiana";1146
"260630 Granito";108
"260640 Gravatá";1137
"260650 Iati";270
"260660 Ibimirim";441
"260670 Ibirajuba";102
"260680 Igarassu";1569
"260690 Iguaracy";129
"260760 Ilha de Itamaracá";331
"260700 Inajá";330
"260710 Ingazeira";74
"260720 Ipojuca";1731
"260730 Ipubi";542
"260740 Itacuruba";68
"260750 Itaíba";359
"260765 Itambé";378
"260770 Itapetim";177
"260775 Itapissuma";364
"260780 Itaquitinga";231
"260790 Jaboatão dos Guararapes";9235
"260795 Jaqueira";161
"260800 Jataúba";250
"260805 Jatobá";212
"260810 João Alfredo";321
"260820 Joaquim Nabuco";202
"260825 Jucati";199
"260830 Jupi";277
"260840 Jurema";209
"260850 Lagoa de Itaenga";308
"260845 Lagoa do Carro";232
"260860 Lagoa do Ouro";172
"260870 Lagoa dos Gatos";200
"260875 Lagoa Grande";387
"260880 Lajedo";652
"260890 Limoeiro";743
"260900 Macaparana";360
"260910 Machados";205
"260915 Manari";270
"260920 Maraial";223
"260930 Mirandiba";260
"261430 Moreilândia";159
"260940 Moreno";764
"260950 Nazaré da Mata";403
"260960 Olinda";5258
"260970 Orobó";265
"260980 Orocó";288
"260990 Ouricuri";1108
"261000 Palmares";1074
"261010 Palmeirina";101
"261020 Panelas";324
"261030 Paranatama";201
"261040 Parnamirim";304
"261050 Passira";376
"261060 Paudalho";825
"261070 Paulista";3930
"261080 Pedra";329
"261090 Pesqueira";931
"261100 Petrolândia";702
"261110 Petrolina";6420
"261120 Poção";139
"261130 Pombos";411
"261140 Primavera";174
"261150 Quipapá";280
"261153 Quixaba";105
"261160 Recife";21132
"261170 Riacho das Almas";310
"261180 Ribeirão";474
"261190 Rio Formoso";327
"261200 Sairé";127
"261210 Salgadinho";67
"261220 Salgueiro";1042
"261230 Saloá";189
"261240 Sanharó";285
"261245 Santa Cruz";250
"261247 Santa Cruz da Baixa Verde";204
"261250 Santa Cruz do Capibaribe";1355
"261255 Santa Filomena";197
"261260 Santa Maria da Boa Vista";710
"261270 Santa Maria do Cambucá";215
"261280 Santa Terezinha";140
"261290 São Benedito do Sul";144
"261300 São Bento do Una";746
"261310 São Caitano";594
"261320 São João";354
"261330 São Joaquim do Monte";275
"261340 São José da Coroa Grande";302
"261350 São José do Belmonte";513
"261360 São José do Egito";416
"261370 São Lourenço da Mata";1571
"261380 São Vicente Ferrer";261
"261390 Serra Talhada";1525
"261400 Serrita";246
"261410 Sertânia";422
"261420 Sirinhaém";575
"261440 Solidão";82
"261450 Surubim";879
"261460 Tabira";464
"261470 Tacaimbó";176
"261480 Tacaratu";317
"261485 Tamandaré";426
"261500 Taquaritinga do Norte";360
"261510 Terezinha";134
"261520 Terra Nova";146
"261530 Timbaúba";670
"261540 Toritama";704
"261550 Tracunhaém";187
"261560 Trindade";570
"261570 Triunfo";191
"261580 Tupanatinga";347
"261590 Tuparetama";123
"261600 Venturosa";286
"261610 Verdejante";136
"261618 Vertente do Lério";103
"261620 Vertentes";290
"261630 Vicência";387
"261640 Vitória de Santo Antão";1901
"261650 Xexéu";214
